Precinct,Violation,Law,CY2007,CY2008,CY2009,CY2010,CY2011,CY2012,CY2013,CY2014,CY2015,CY2016,2017 YTD 03-31
9,CRUISING PROHIBITED - MEDALLION,Administrative Code,2,2,4,1,2,3,0,6,7,0,0
9,DEFECTIVE BREAKLIGHT,VTL,3,2,5,1,0,0,0,1,0,0,0
9,DEFECTIVE HEADLIGHT,VTL,7,0,0,0,0,0,0,1,0,0,0
9,DEFECTIVE REFLECTOR,VTL,0,1,0,0,0,0,0,0,0,0,0
9,DISOBEY TRANSIT SIGN,Transit Regs,0,0,0,0,0,0,0,0,0,0,0
9,DISORDERLY CONDUCT,Penal Law,852,791,682,600,578,574,372,295,204,162,23
9,DISORDERLY PERSON IN PARK,Park Regs,8,8,4,0,0,3,0,0,1,0,0
9,DISORDERLY PREMISE LICENSED TO SELL ALCOHOL,ABC,12,0,1,2,0,2,2,0,0,2,0
9,DOG IN PARK,Park Regs,1,1,2,29,2,5,1,0,0,2,0
9,DOG: FAILURE TO REMOVE CANINE WASTE,Health Code,7,16,16,10,10,12,15,6,10,2,1
9,DOG: NO VACCINATION,Health Code,3,1,24,24,1,0,1,0,0,0,0
9,DOG: UNLEASHED,Health Code,77,93,107,64,57,92,42,41,24,5,1
9,DOG: UNLICENSED,Health Code,10,34,30,29,27,50,29,8,0,0,0
9,DOING BUS WITH OTHER NAME,General Business Law,1,0,0,0,0,0,0,0,0,0,0
9,DOUBLE PARKING,Traffic Regs,0,0,0,0,0,0,0,0,0,0,0
9,DRIVE ON SIDEWALK,VTL,0,0,0,0,0,0,0,0,0,0,0
9,DRIVE THRU BARRIER,VTL,0,0,0,0,0,0,0,0,0,0,0
9,DUMPING,Administrative Code,0,2,0,1,0,0,1,0,0,0,0
9,EXCAVATION (VEHICLE OBSTRUCTING TRAFFIC),Traffic Regs,0,0,0,0,0,0,0,0,0,0,0
9,EXPOSURE OF PERSON,Penal Law,4,3,1,3,3,2,1,3,1,0,0
9,FAIL TO COMPLY WITH ORDER,VTL,0,1,0,0,2,0,0,0,0,0,0
9,FAIL TO COMPLY WITH TAXI LIMOUSINE COMMISSION REGULATIONS,Administrative Code,3,12,5,28,21,33,44,10,0,0,0
9,FAIL TO SECURE WORKERS COMPENSATION INSURANCE,NYS Workers Comp,0,0,0,0,0,0,0,0,0,0,0
9,FAIL TO YIELD AT LEFT TURN,VTL,0,0,0,0,0,0,0,0,0,0,0
9,FAIL TO YIELD FOR EMERGENCY VEHICLE,VTL,0,0,0,1,0,1,1,0,0,0,0
9,FAILED TO DISPLAY BARBER LICENSE,General Business Law,0,0,0,0,0,0,1,0,0,0,0
9,FAILURE TO COMPLY WITH SIGN,Park Regs,37,108,81,66,21,73,110,97,35,12,0
9,FAILURE TO SURRENDER LICENSE OR REGISTRATION,VTL,2,0,0,0,0,0,0,0,0,0,0
9,FAILURE TO YIELD AT INTERSECTION,VTL,0,1,0,0,0,0,0,0,0,0,0
9,FAILURE TO YIELD TO PEDESTRIAN IN CROSSWALK,Traffic Regs,0,0,0,0,0,1,0,0,0,0,0
9,FEDERAL MOTOR VEHICLE SAFETY REGULATIONS,NYS Transportation,0,25,35,19,42,45,2,24,11,0,0
9,FIRE HYDRANT,Traffic Regs,4,0,0,0,0,0,0,0,0,0,0
9,FIRE WITHOUT PERMIT,Park Regs,0,0,1,1,2,3,0,0,0,0,0
9,FIREWORKS,Administrative Code,0,0,0,0,1,0,0,0,0,0,0
9,FIREWORKS- POSSESS/USE,Penal Law,2,0,0,1,0,2,3,1,0,1,1
9,FOLLOWING TOO CLOSELY,VTL,0,0,0,0,0,0,0,0,0,0,0
9,FOOD PROTECTION/STORAGE/TRANSPORTATION,Sanitary Code (NYS),0,0,0,0,0,0,0,0,0,0,0
9,FOR SALE SIGN DISPLAYED,Traffic Regs,0,0,0,0,0,0,0,0,0,0,0
9,GRAFFITI,Administrative Code,1,0,1,2,0,2,0,0,0,0,0
9,HARASSMENT 2,Penal Law,7,5,7,6,7,5,5,3,1,1,0
9,HAZING 2,Penal Law,0,0,0,0,0,0,0,0,0,0,0
9,HIGHWAY USE TAX (NEW YORK STATE),Tax Law,0,0,0,0,0,0,0,0,0,0,0
9,IDLING OF VEHICLE,Administrative Code,0,1,0,1,3,2,0,2,2,0,0
9,ILLEGAL BOTTLE CLUB,ABC,2,0,0,0,0,0,0,0,0,0,0
9,IMITATION PISTOL/AIR RIFLE- POSSESSION OF,Administrative Code,0,0,0,0,0,0,0,0,0,0,0
9,IMPROPER DISPLAY REG. STKR.,Traffic Regs,0,0,0,0,0,0,0,0,0,0,0
9,IMPROPER ENTRANCE/EXIT,Transit Regs,0,0,0,0,0,0,0,0,0,0,0
9,IMPROPER PLATES,VTL,0,2,0,0,0,1,0,0,0,0,1
9,IMPROPER REGISTRATION,Traffic Regs,1,0,0,0,0,0,0,0,0,1,0
9,IMPROPER STICKER,VTL,0,0,0,0,0,1,0,0,0,0,0
9,IMPROPER TURN,VTL,0,0,0,0,0,0,1,0,0,0,0
9,IN PUBLIC UNDER DRUGS,Penal Law,0,0,0,0,0,0,0,0,0,0,0
9,INADEQUATE MOTOR VEHICLE EQUIPMENT,VTL,2,1,2,0,1,0,0,0,0,0,0
9,INDETERMINABLE,Indeterminable,54,1,5,5,0,3,5,0,2,0,14
9,INSPECTION STICKER (MISSING/EXPIRED),Traffic Regs,0,0,0,0,0,0,0,0,0,0,0
9,INSPECTION STICKER (MUTILATED/COUNTERFEIT),Traffic Regs,0,0,0,0,0,0,0,0,0,0,0
9,INSURANCE STAMP EXPIRED,Administrative Code,0,0,0,1,0,1,0,0,0,0,0
9,INTERSECTION,Traffic Regs,0,0,0,0,0,0,0,0,0,0,0
9,INVALID PROOF OF INSURANCE,VTL,0,0,0,0,1,0,0,1,0,0,0
9,JAYWALKING,Traffic Regs,1,1,0,4,2,0,1,7,2,3,6
9,KEY IN IGNITION,Administrative Code,0,0,0,0,0,0,0,0,0,1,0
9,KNIFE- ANY IN PUBLIC VIEW,Administrative Code,11,13,15,16,8,15,9,7,3,4,4
9,LEAVING THE SCENE OF AN ACCIDENT (PROPERTY DAMAGE),VTL,1,0,0,0,0,1,0,0,0,0,0
9,LIMITED USE AUTOMOBILE REVOCATION OR SUSPENSION,VTL,3,0,51,72,22,27,23,13,3,0,1
9,LITTERING,Administrative Code,11,10,23,7,2,4,17,26,15,12,1
9,,Health Code,24,24,32,16,8,30,21,7,17,7,0
9,LITTERNG,Park Regs,2,1,2,2,0,0,0,0,0,0,0
9,LOITERING (BEGGING),Penal Law,0,1,0,0,1,0,0,0,0,0,0
9,LOITERING (GAMBLING),Penal Law,13,6,15,2,3,19,27,2,0,0,0
9,LOITERING (MASKED/DISGUISE),Penal Law,0,0,0,0,0,0,0,0,0,0,0
9,LOITERING (SCHOOL),Penal Law,0,1,0,0,0,0,0,0,0,0,0
9,LOITERING (SEXUAL CONDUCT),Penal Law,0,0,0,0,1,0,0,0,0,0,0
9,LOITERING (TRANSPORTATION FACILITY),Penal Law,0,0,0,0,0,0,0,0,0,0,0
9,LOITERING (TRANSPORTATION FACILITY/SLEEPING),Penal Law,0,0,0,0,0,0,0,0,0,0,0
9,LOITERING (UNCLASSIFIED),Penal Law,0,2,0,0,0,0,0,0,0,0,0
9,MARIJUANA- POSSESSION OF,Penal Law,61,52,61,61,66,98,121,141,211,199,55
9,METER (BROKEN),Traffic Regs,0,0,0,0,0,0,0,0,0,0,0
9,METER (EXPIRED),Traffic Regs,0,0,0,0,0,0,0,0,0,0,0
9,MISSING EQUIPMENT,Traffic Regs,0,0,0,0,1,0,0,0,0,0,0
9,MISSING/IMPROPER PLATES,Traffic Regs,0,0,0,0,0,0,0,0,0,0,0
9,MISUSE OF DEALER PLATES,VTL,0,0,0,0,0,0,0,0,0,0,0
9,MOTORCYCLE (OTHER),VTL,1,0,0,0,0,0,0,0,0,0,0
9,MOTORCYCLE HELMET REQUIRED,VTL,0,0,2,0,0,0,0,0,0,0,0
9,NO BARBERS LICENSE,General Business Law,0,0,0,0,0,0,0,0,0,0,0
9,NO BUSINESS CERTIFICATE,General Business Law,1,1,0,0,0,0,0,0,0,0,1
9,NO CERTIFICATE OF AUTHORITY,Tax Law,95,64,17,6,5,1,0,0,0,0,1
9,NO CHAUFFEURS LICENSE (CLASS E),Administrative Code,2,1,1,5,4,0,1,1,0,0,0
9,NO MATCH PLATE/STICKER,Traffic Regs,0,0,0,0,0,0,0,0,0,0,0
9,NO MEDALLION,Administrative Code,0,0,0,1,0,0,0,0,0,0,0
9,NO PARKING,Traffic Regs,0,0,0,0,0,0,0,0,0,0,0
9,NO PARKING (EXCEPT AUTH. VEHICLES),Traffic Regs,0,0,0,0,0,0,0,0,0,0,0
9,NO PARKING (STREET CLEANING),Traffic Regs,0,0,0,0,0,0,0,0,0,0,0
9,NO POSTING WORKERS COMP INS,NYS Workers Comp,0,0,0,0,0,0,0,0,0,0,0
9,NO PREGNANCY WARNING SIGN,ABC,13,11,6,3,2,0,1,2,1,1,3
9,NO SECURITY GUARD LICENSE,General Business Law,54,14,21,20,21,6,10,5,3,4,7
9,NO SMOKING SIGNS NOT POSTED,Health Code,91,80,60,5,0,2,0,0,0,1,1
9,NO STANDING,Traffic Regs,0,0,0,0,0,0,0,0,0,0,0
9,NO STANDING (AUTH. VEHICLES),Traffic Regs,0,0,0,0,0,0,0,0,0,0,0
9,NO STANDING (BUS LANE),Traffic Regs,0,0,0,0,0,1,0,0,0,0,0
9,NO STANDING (BUS STOP),Traffic Regs,0,0,0,0,0,0,0,0,0,0,1
9,NO TAX STAMP,Administrative Code,9,8,0,1,0,9,0,0,1,0,0
9,NO TRIP SHEET,Administrative Code,11,2,0,0,0,0,0,1,0,0,0
9,NO VENDING MACHINE DISCLOSURE,General Business Law,0,0,0,0,0,0,0,0,0,0,0
9,NOISE (ANIMIAL),Administrative Code,0,0,0,0,0,0,0,0,0,0,0
9,NOISE (DEVICE),Administrative Code,8,3,16,3,2,3,1,0,0,0,0
9,NOISE (HORN/ALARM),Administrative Code,3,2,5,4,3,1,1,0,3,0,0
9,NOISE (UNREASONABLE),Administrative Code,24,31,20,12,11,12,10,9,2,6,0
9,NON PAYMENT OF FARE (BUS),Transit Regs,0,0,0,0,0,0,0,0,0,0,0
9,NON PAYMENT OF FARE (OTHER),Transit Regs,0,0,0,0,0,0,0,0,0,0,0
9,OBSTRUCTED VIEW,VTL,1,1,0,0,0,0,0,0,0,0,0
9,OBSTRUCTED VIEW OF PREMISE,ABC,1,3,2,0,2,0,0,0,0,0,1
9,OBSTRUCTING DRIVEWAY,Traffic Regs,0,0,0,0,0,0,0,0,0,0,0
9,OBSTRUCTING TRAFFIC,Traffic Regs,2,0,0,0,1,0,1,3,0,1,0
9,OFFENSIVE EXHIBITION,Penal Law,1,1,0,0,0,0,0,0,1,0,0
9,ONE WAY STREET,VTL,0,0,1,1,0,0,0,0,0,0,0
9,OPEN FIRE,Administrative Code,11,4,2,3,2,2,1,0,0,0,0
9,OPEN HYDRANT,Administrative Code,1,0,0,0,0,0,0,1,0,0,0
9,OTHER ADMINISTRATIVE CODE,Administrative Code,564,385,168,106,158,121,71,87,42,75,18
9,OTHER AGRICULTURE & MARKETS LAW,Agriculture & Markets Law,0,0,1,0,0,0,1,0,2,2,1
9,OTHER ALCOHOL BEVERAGE CONTROL LAWS,ABC,135,111,24,25,37,28,37,21,11,16,32
9,OTHER ARTS AND CULTURAL AFFAIRS,ACA,0,2,0,0,0,0,0,0,0,0,0
9,OTHER BUSINESS LAW,General Business Law,44,4,3,0,0,0,0,0,0,0,0
9,OTHER ENVIRONMENTAL CONSERVATION LAW,Environmental Conservation Law,0,0,0,0,0,0,0,0,0,0,0
9,OTHER HEALTH CODE,Health Code,72,27,10,1,0,2,5,2,0,0,4
9,OTHER MULTIPLE DWELLING,Multiple Dwelling,0,0,0,0,0,0,0,0,0,0,0
9,OTHER NAVIGATION LAW,Navigation Law,0,0,0,0,0,0,0,0,0,0,0
9,OTHER NEW YORK STATE EDUCATION LAW,Education Law (NYS),0,0,0,0,0,0,0,0,0,0,0
9,OTHER NYS TRANSPORTATION,NYS Transportation,49,11,4,1,2,6,14,3,13,0,1
9,OTHER NYS WORK COMPENSATION,NYS Workers Comp,0,0,0,0,0,0,0,0,0,0,0
9,OTHER PARK REGULATIONS,Park Regs,61,69,58,87,31,30,20,18,5,0,1
9,OTHER PENAL LAW,Penal Law,9,7,3,2,3,6,0,5,6,4,0
9,OTHER SANITARY CODE,Sanitary Code (NYS),0,0,0,0,0,0,0,0,0,0,0
9,OTHER TAX LAW,Tax Law,9,1,1,2,0,1,0,0,0,0,1
9,OTHER TAXI LIMOUSINE COMMISSION,TLC,13,0,1,1,13,6,1,2,0,4,0
9,OTHER TRAFFIC REGULATIONS,Traffic Regs,8,3,5,4,35,61,17,9,2,2,1
9,OTHER TRANSIT REGULATIONS,Transit Regs,0,2,1,0,0,0,0,0,0,0,0
9,OTHER VEHICLE TRAFFIC LAW,VTL,37,10,19,3,9,18,3,6,9,13,2
9,OVERWEIGHT (VEHICLE),VTL,0,0,0,0,0,0,0,0,0,0,0
9,PANHANDLING,Administrative Code,3,4,17,2,0,1,2,0,0,0,0
9,PARK ON SIDEWALK,Traffic Regs,0,0,0,0,0,0,0,0,0,0,0
9,PARK REGULATIONS(LITTERING/POLLUTING/DUMPING/UNATTENDED PROPERTY),Park Regs,39,10,45,39,30,31,22,5,3,8,0
9,PARKING A VEHICLE EXCEEDING 12 INCHES FROM CURB,Traffic Regs,0,0,0,0,0,0,0,1,0,0,0
9,PASSING ON LEFT,VTL,0,0,0,0,0,0,0,0,0,0,0
9,PASSING ON RIGHT,VTL,0,0,0,0,0,0,0,0,0,0,0
9,PAVEMENT MARKING (DISOBEY),VTL,0,0,2,0,0,0,0,0,0,0,0
9,PICK UP FROM BUS STOP,Tax Law,0,0,0,0,0,0,0,0,0,0,0
9,PICK UP HAIL IN BUS STOP,Administrative Code,10,6,15,8,6,12,2,1,0,1,0
9,PICK-UP FARE IN BUS STOP,VTL,0,0,0,0,0,0,0,0,0,0,0
9,POLICE RADIO OR EQUIPMENT,TLC,0,0,0,0,0,0,0,0,0,0,0
9,POSSESSION OF KNIFE,Administrative Code,3,1,8,5,6,0,0,1,1,0,0
9,POSSESSION OF MACE,Administrative Code,0,0,0,0,2,1,0,0,0,0,1
9,PRACTICE OF BARBERING WITHOUT A LICENSE,General Business Law,0,0,0,0,0,0,1,0,0,0,0
9,PROMOTING EXPOSURE,Penal Law,1,1,0,0,0,0,0,0,2,0,0
9,RECKLESS DRIVING,VTL,120,72,111,158,150,158,80,38,16,24,4
9,RED LIGHT (DISOBEY),VTL,2,2,0,0,1,1,0,0,0,0,0
9,REGISTRATION STICKER MISSING/EXPIRED,Traffic Regs,0,0,0,0,0,0,0,0,0,1,0
9,REVOKED REGISTRATION,VTL,1,0,2,5,5,2,0,0,0,1,0
9,RIDING IN OTHER THAN PASSENGER COMPARTMENT,VTL,0,0,0,0,0,0,0,0,0,0,0
9,RIFLE- SHOTGUN- AMMO SALE OR PURCHASE,Administrative Code,0,0,0,0,0,0,0,0,0,0,0
9,SAFETY BELT (ADULT),VTL,0,1,0,0,0,0,0,0,0,0,0
9,SAFETY BELT (CHILD),VTL,0,0,0,0,0,0,0,0,0,0,0
9,SAFETY BELT (NO CHILD SEAT),VTL,0,0,0,0,0,0,0,0,0,0,0
9,SAFETY ZONE,Traffic Regs,0,0,0,0,1,0,0,0,0,0,0
9,SAFETY ZONE DIRECTION,VTL,0,0,0,0,0,0,0,0,0,0,0
9,SALE OF ALCOHOL TO A MINOR,ABC,9,12,2,14,21,11,10,12,0,1,8
9,SALE/PURCHASE/USE OF ALCOHOL BY MINOR,ABC,30,64,31,31,33,25,27,8,1,8,0
9,SCHOOL BUS- PASSING STOPPED,VTL,0,0,0,0,0,0,0,0,0,0,0
9,SEX IN PARK,Park Regs,0,0,0,0,0,0,0,0,0,0,0
9,SMOKING,Education Law (NYS),0,0,0,0,0,0,0,0,0,0,0
9,SMOKING IN ELEVATOR,Health Code,27,11,25,15,16,13,15,2,5,1,0
9,SMOKING IN TRAIN STATION,Transit Regs,0,0,0,0,0,0,0,0,0,0,0
9,SOUND REPRODUCTION DEVICE-NO PERMIT,Administrative Code,0,1,0,0,0,1,0,1,0,2,0
9,SPEEDING,Traffic Regs,0,0,0,0,0,0,0,0,0,0,0
9,SPITTING IN PUBLIC,Health Code,13,15,16,8,6,11,13,9,8,1,3
9,STOP SIGN,VTL,0,0,0,1,0,0,1,0,0,0,0
9,STORAGE 24HR COMMERICAL VEHICLES,Traffic Regs,0,0,0,0,0,0,0,0,0,0,0
9,TAKE OFFS AND LANDING,Administrative Code,0,0,0,0,0,0,0,0,0,0,0
9,TAXI-NO METER,Administrative Code,0,0,0,0,3,0,0,0,0,0,0
9,TICKET SPECULATION,ACA,0,0,0,0,0,0,0,0,0,0,0
9,TOW TRUCK VIOLATIONS (OTHER),Administrative Code,0,0,0,0,0,0,0,0,0,0,0
9,TOW:PD RADIO/SCANNER-TOW TRUCK/ON PERSON,Administrative Code,0,0,0,0,0,0,0,0,0,0,0
9,TOW:SOLICITING TOW AT SCENE OF ACCIDENT,Administrative Code,0,0,0,0,0,0,0,0,0,0,0
9,TOW:UNAUTHORIZED REMOVAL OF VEHICLE,Administrative Code,0,0,0,0,0,0,0,0,0,0,0
9,TRESPASS,Penal Law,146,120,104,94,48,92,44,47,40,49,9
9,TRUANCY,Education Law (NYS),0,0,0,0,0,0,0,0,0,0,0
9,U-TURN,Traffic Regs,0,0,0,0,0,0,1,0,0,0,0
9,UNATTENDED VEHICLE (ENGINE RUNNING),VTL,0,0,0,0,0,0,0,0,0,0,0
9,UNAUTHORIZED COLOR (TAXI YELLOW),Administrative Code,0,0,0,0,0,0,0,0,0,0,0
9,UNAUTHORIZED POSTING,Administrative Code,6,5,9,3,0,5,3,3,4,4,1
9,UNAUTHORIZED RADIO,Administrative Code,0,0,0,1,0,0,0,0,0,0,0
9,UNAUTHORIZED SIGNS (TAXI- CAR SERVICE),Administrative Code,0,0,0,1,0,0,0,0,0,0,0
9,UNAUTHORIZED TAXI FOR HIRE,TLC,1,0,0,0,1,0,0,0,0,0,0
9,UNAUTHORIZED USE OF POLICE INSIGNIA,VTL,1,0,0,0,0,0,0,0,0,0,0
9,UNDERAGE DRINKING,ABC,7,5,21,24,12,14,8,9,11,2,0
9,UNINSPECTED VEHICLE,VTL,1,1,0,0,0,0,0,0,0,0,0
9,UNINSURED VEHICLE,VTL,3,1,3,2,2,5,0,1,1,2,0
9,UNINSURED VEHICLES FOR HIRE,VTL,1,0,5,14,2,5,0,1,0,0,0
9,UNLAWFUL PREVENTION OF PUBLIC ACCESS TO RECORDS,Penal Law,0,0,0,0,0,0,0,0,0,0,0
9,UNLAWFULLY POSTING ADVERTISEMENTS,Penal Law,6,8,5,7,3,9,11,12,2,5,0
9,UNLICENSED CABARET,ABC,15,4,0,0,1,0,0,0,0,0,0
9,UNLICENSED OPERATOR,VTL,2,1,1,2,1,2,0,0,0,0,0
9,UNLICENSED SALE OF ALCOHOL,ABC,6,3,1,4,6,0,0,0,0,0,0
9,UNLICENSED VEHICLE FOR HIRE,Administrative Code,2,0,6,8,9,10,4,1,3,1,0
9,UNREASONABLE  SPEED,VTL,0,0,0,0,0,0,0,0,0,0,0
9,UNREGISTERED VEHICLE,VTL,9,2,2,8,3,1,0,0,0,1,1
9,UNSAFE LANE CHANGE,VTL,1,2,0,0,0,0,0,0,0,0,0
9,UNSAFELY BACKING,Traffic Regs,1,0,0,0,0,0,0,0,0,0,0
9,URINATE/DEFICATE IN PARK,Park Regs,0,3,1,0,0,1,0,0,1,0,0
9,URINATING IN PUBLIC,Administrative Code,27,157,233,273,297,343,402,416,282,257,6
9,,Health Code,271,326,313,181,192,177,190,113,66,59,32
9,VEHICLE IN PARK,Park Regs,0,0,0,0,0,0,0,0,0,0,0
9,VENDING ON PARKING METER,Administrative Code,21,39,21,7,2,4,7,0,1,2,0
9,VENDING: NO TAX STAMP,Administrative Code,5,2,6,2,4,3,0,0,0,0,0
9,VENDOR: (OTHER),Administrative Code,0,0,2,7,17,4,4,3,0,0,1
9,VENDOR: BEYOND MARKET SPACE,Traffic Regs,1,0,0,0,0,0,0,0,0,0,0
9,VENDOR: DISPLAY MERCHANDISE ON SIDEWALK,Administrative Code,71,76,7,24,7,6,8,1,1,0,0
9,VENDOR: FAIL TO DISPLAY PERMIT,Administrative Code,0,0,5,8,7,3,4,0,1,0,0
9,VENDOR: FAIL TO DISPLAY PRICES,Administrative Code,0,0,2,0,0,3,2,0,0,0,0
9,VENDOR: OVERSIZE TABLE,Administrative Code,0,0,2,2,0,0,0,0,0,0,0
9,VENDOR: UNLICENSED,Administrative Code,21,36,17,62,13,4,16,4,0,0,0
9,VENDOR:RESTRICTIONS ON PLACMENT VEHICLE/PUSHCARTS,Administrative Code,0,0,18,47,4,4,5,2,0,0,0
9,VIOLATE LEARNERS PERMIT,VTL,0,0,0,0,0,0,0,0,0,0,0
9,VIOLATE RESTRICTED USE LICENSE,VTL,0,0,0,0,0,0,0,0,0,0,0
9,WINDSHIELD WASHERS,Traffic Regs,0,1,0,0,0,0,0,0,0,0,0
9,WRONG WAY,Traffic Regs,0,0,0,0,0,0,0,0,0,1,0
9,Total(Violation),,5318,5773,5379,4776,3990,4622,3597,3096,2286,1974,356
10,ACCEPT ON HAIL,Administrative Code,21,10,6,18,34,25,18,12,0,3,0
10,AFTER HOURS CONSUMPTION,ABC,1,0,0,2,3,0,0,4,1,1,0
10,AGGRAVATED UNLICENSED OPERATOR,VTL,0,1,1,0,0,0,0,0,0,1,0
10,ANGLE PARKING,Traffic Regs,0,0,0,0,0,0,0,0,0,0,0
10,BARE HAND CONTACT (FOOD),Health Code,0,0,0,0,8,17,23,6,0,0,0
10,BICYCLE (OTHER),VTL,0,0,1,2,2,0,7,0,0,0,0
10,BICYCLE INFRACTION (COMMERCIAL),Administrative Code,2,0,5,1,54,44,58,4,0,0,0
10,BICYCLE NO BELL,VTL,0,0,0,0,0,0,0,0,0,0,0
10,BICYCLE NO BRAKES,VTL,0,0,0,0,0,0,0,0,0,0,0
10,BICYCLE NO LIGHTS,VTL,0,0,0,0,0,0,0,0,0,0,0
10,BICYCLE NO REFLECTOR VEST,VTL,0,0,0,0,0,0,0,0,0,0,0
10,BICYCLE NO SAFETY HELMET,VTL,0,0,0,0,0,0,0,0,0,0,0
10,BICYCLE ON SIDEWALK,Administrative Code,40,68,68,170,123,197,236,22,4,1,0
10,BIKE IN PARK,Park Regs,0,0,0,0,0,0,0,0,0,1,0
10,BOX CUTTER,Administrative Code,0,1,0,0,1,0,1,1,1,0,0
10,BROKEN WINDSHIELD,VTL,3,1,3,1,0,0,0,0,0,0,0
10,COMMERCIAL VEHICLE PARKED OVERNIGHT,Traffic Regs,0,0,0,0,0,0,0,0,0,0,0
10,COMMERCIAL VEHICLES NO NAME OR ADDRESS DISPLAYED,Administrative Code,53,55,41,47,23,12,12,4,6,10,7
10,CONSUMPTION OF ALCOHOL,Administrative Code,1166,1233,1016,1267,1181,919,1166,751,466,521,62
10,CONSUMPTION OF ALCOHOL IN PARK,Park Regs,3,2,0,1,3,1,0,1,0,0,0
10,CONSUMPTION OF ALCOHOL IN VEHICLE,VTL,0,0,0,1,0,0,0,0,0,0,0
10,CROSSED DOUBLE YELLOW TO PASS,VTL,0,0,0,0,0,0,0,0,0,0,0
10,CROSSWALK,Traffic Regs,0,0,0,0,0,0,1,11,1,0,0
10,CRUISING,Traffic Regs,0,0,0,0,0,0,0,0,1,0,0
10,CRUISING PROHIBITED - MEDALLION,Administrative Code,0,0,3,1,4,4,0,2,0,0,0
10,DEFECTIVE BREAKLIGHT,VTL,3,3,3,6,0,0,2,2,11,0,0
10,DEFECTIVE HEADLIGHT,VTL,18,10,0,11,3,0,0,0,2,0,0
10,DEFECTIVE REFLECTOR,VTL,6,1,1,3,0,0,0,0,0,0,0
10,DISOBEY TRANSIT SIGN,Transit Regs,0,0,0,0,0,0,0,0,0,1,1
10,DISORDERLY CONDUCT,Penal Law,794,593,580,655,607,469,498,356,228,218,27
10,DISORDERLY PERSON IN PARK,Park Regs,0,0,0,2,0,0,2,1,0,0,0
10,DISORDERLY PREMISE LICENSED TO SELL ALCOHOL,ABC,10,0,0,0,0,2,0,1,7,2,0
10,DOG IN PARK,Park Regs,0,0,1,0,0,0,0,0,0,0,0
10,DOG: FAILURE TO REMOVE CANINE WASTE,Health Code,2,3,4,0,2,0,1,3,0,0,0
10,DOG: NO VACCINATION,Health Code,0,0,0,1,0,0,0,0,0,0,0
10,DOG: UNLEASHED,Health Code,31,29,20,24,13,19,20,3,2,3,1
10,DOG: UNLICENSED,Health Code,4,13,5,4,7,10,5,0,0,0,0
10,DOING BUS WITH OTHER NAME,General Business Law,0,0,0,0,0,0,0,0,0,0,0
10,DOUBLE PARKING,Traffic Regs,0,0,0,0,0,0,0,0,0,0,0
10,DRIVE ON SIDEWALK,VTL,0,0,0,0,0,0,0,0,0,0,0
10,DRIVE THRU BARRIER,VTL,0,0,0,0,0,0,0,0,0,0,0
10,DUMPING,Administrative Code,0,2,0,0,0,2,1,2,0,0,0
10,EXCAVATION (VEHICLE OBSTRUCTING TRAFFIC),Traffic Regs,0,0,0,0,0,0,0,0,0,0,0
10,EXPOSURE OF PERSON,Penal Law,0,2,1,9,2,3,6,4,0,0,0
10,FAIL TO COMPLY WITH ORDER,VTL,0,1,0,0,0,1,0,0,0,0,0
10,FAIL TO COMPLY WITH TAXI LIMOUSINE COMMISSION REGULATIONS,Administrative Code,2,0,0,25,134,222,358,241,105,70,20
10,FAIL TO SECURE WORKERS COMPENSATION INSURANCE,NYS Workers Comp,0,0,0,0,0,0,0,0,0,0,0
10,FAIL TO YIELD AT LEFT TURN,VTL,0,0,0,0,0,0,0,0,0,0,0
10,FAIL TO YIELD FOR EMERGENCY VEHICLE,VTL,0,0,1,0,1,0,0,0,0,1,0
10,FAILED TO DISPLAY BARBER LICENSE,General Business Law,0,0,0,0,0,0,0,0,0,0,0
10,FAILURE TO COMPLY WITH SIGN,Park Regs,11,16,32,54,43,52,54,35,42,7,0
10,FAILURE TO SURRENDER LICENSE OR REGISTRATION,VTL,0,0,1,0,0,0,0,0,1,0,0
10,FAILURE TO YIELD AT INTERSECTION,VTL,0,0,0,0,0,0,0,0,0,0,0
10,FAILURE TO YIELD TO PEDESTRIAN IN CROSSWALK,Traffic Regs,0,0,0,2,0,0,0,2,1,0,0
10,FEDERAL MOTOR VEHICLE SAFETY REGULATIONS,NYS Transportation,28,1317,519,841,863,321,975,847,417,313,299
10,FIRE HYDRANT,Traffic Regs,0,0,0,0,0,0,0,0,0,0,0
10,FIRE WITHOUT PERMIT,Park Regs,0,0,0,0,2,0,1,0,0,0,0
10,FIREWORKS,Administrative Code,0,0,0,0,0,0,0,0,0,1,0
10,FIREWORKS- POSSESS/USE,Penal Law,0,0,0,0,1,0,0,0,0,0,0
10,FOLLOWING TOO CLOSELY,VTL,0,0,0,0,0,0,0,0,0,0,0
10,FOOD PROTECTION/STORAGE/TRANSPORTATION,Sanitary Code (NYS),0,1,0,8,5,2,0,0,0,0,0
10,FOR SALE SIGN DISPLAYED,Traffic Regs,0,0,0,0,0,0,0,0,0,0,0
10,GRAFFITI,Administrative Code,0,0,0,0,0,0,0,0,0,0,0
10,HARASSMENT 2,Penal Law,7,6,2,10,3,1,1,1,0,1,0
10,HAZING 2,Penal Law,0,0,0,0,0,0,0,0,0,0,0
10,HIGHWAY USE TAX (NEW YORK STATE),Tax Law,21,91,5,9,2,3,6,2,1,16,17
